ID,Categoría,Criterio de Medición,Descripción,Estado,Fuente de Elicitación,Nombre del Requisito,Prioridad
RNF-001,Usabilidad,"En prueba con usuarios (n≥10), ≥90% completa el inicio y el primer nodo sin ayuda; tiempo de localización de funciones clave (herramientas, ayuda, salir) ≤30 s; tasa de error crítico de navegación ≤5%.","La interfaz del simulador debe ofrecer navegación guiada y consistente entre casos (mismo patrón de UI para escenas, decisiones, herramientas y retroalimentación) para reducir carga cognitiva.",Propuesto,Entrevista docente,Navegación guiada y consistencia multi-caso,Alta
RNF-002,Seguridad,Pruebas de autorización: 100% de acciones sensibles requieren rol; intentos de acceso indebido resultan en denegación y registro de auditoría; 0 hallazgos críticos en revisión de permisos.,"El sistema debe aplicar control de acceso por rol y mínimo privilegio para funciones de autoría, analíticas, exportaciones y administración del catálogo de casos.",Propuesto,Revisión normativa,Control de acceso por rol y mínimo privilegio,Alta
RNF-005,Rendimiento,"En carga nominal, p95 de carga de nodo ≤2 s y apertura de herramienta ≤2.5 s; en carga alta (2× concurrencia), p95 ≤4 s; tasa de error de carga ≤1%.",El sistema debe cargar escenas y abrir herramientas con latencias acotadas para no interrumpir la simulación.,Propuesto,Caso de estudio,Tiempo de respuesta de escenas y herramientas,Media
RNF-004,Accesibilidad,Auditoría WCAG 2.1 AA: contraste ≥4.5:1; 100% de funciones críticas navegables por teclado; etiquetas/alternativas textuales presentes; 0 bloqueos en pruebas con lector de pantalla (NVDA/VoiceOver).,El sistema debe cumplir WCAG 2.1 AA para que los casos (y sus herramientas/recursos) sean accesibles por teclado y lectores de pantalla.,Propuesto,Revisión normativa,Accesibilidad WCAG 2.1 AA,Alta
RNF-003,Privacidad,Inventario de datos: 100% de campos justificados; bitácoras no se incluyen en reportes agregados por defecto; exportación de texto libre sensible requiere habilitación explícita; 0 exposiciones no autorizadas en pruebas.,"El sistema debe minimizar recolección y exposición de datos, anonimizar vistas agregadas y controlar exportaciones, especialmente para contenidos y textos libres potencialmente sensibles.",Propuesto,Validación experta,Minimización y protección de datos,Alta
RNF-006,Disponibilidad,Disponibilidad mensual ≥99.5% en periodos académicos; RTO ≤4 h; notificación de incidentes ≤30 min; mantenimiento planificado comunicado con ≥48 h.,El sistema debe mantener disponibilidad definida durante ventanas académicas y permitir continuidad de intentos.,Propuesto,Entrevista docente,Disponibilidad en periodos académicos,Alta
RNF-007,Trazabilidad,"Eventos mínimos registrados: inicio/cierre de intento, cada decisión confirmada, checklist completado, exportación y cambios; logs con sello de tiempo, usuario/rol y contexto; retención ≥12 meses; 100% consultables por administrador autorizado.","El sistema debe registrar eventos académicos y de seguridad (decisiones, herramientas, cambios de configuración, exportaciones) para auditoría y mejora continua.",Propuesto,Revisión normativa,Auditoría de eventos y accesos,Alta
RNF-008,Mantenibilidad,≥80% de ajustes de contenido se realizan sin despliegue de código; versionado con historial y rollback; pruebas de regresión pasan ≥95% tras actualización; documentación técnica actualizada por versión.,El sistema debe gestionar el contenido de casos de forma modular y versionada para permitir ampliación del catálogo sin despliegues frecuentes.,Propuesto,Análisis documental,Contenido modular y versionado,Media
RNF-009,Escalabilidad,Soporta ≥3× concurrencia base sin degradar el p95 de RNF-005 en más de 50%; prueba de carga estable 60 min sin caídas; catálogo ≥200 casos con búsqueda/filtrado p95 ≤2.5 s.,"El sistema debe escalar para crecimiento del catálogo y aumento de concurrencia, manteniendo SLAs de rendimiento.",Propuesto,Validación experta,Crecimiento de catálogo y concurrencia,Media
RNF-010,Ética (contenidos sensibles),"Incluye: advertencia previa al inicio, guía de lenguaje, botón de salida segura en todas las fases y recursos de apoyo; checklist ético con aprobación experta ≥95%; 0 ocurrencias de lenguaje estigmatizante en revisión de contenido publicada.","El sistema debe incorporar advertencias, lineamientos de lenguaje y controles de pausa/salida segura para cualquier caso con contenido sensible, configurable por caso.",Propuesto,Validación experta,Gestión ética de contenidos sensibles,Alta